,title,description,originallink,link,pubDate
24,"'우영우' 방영채널 ENA, SNS 언급량 한달 새 2.7배로 증가",드라마 &apos;이상한 변호사 <b>우영우</b>&apos;(이하 &apos;<b>우영우</b>&apos;) 인기에 힘입어 케이블 채널 ENA에 대한 관심도 크게 높아졌다. 통계분석전문기업 닐슨미디어코리아는 &apos;<b>우영우</b>&apos;가 첫 방송을 한 6월 27일부터 7월 25일까지 약 한 달간... ,https://www.yna.co.kr/view/AKR20220818045900005?input=1195m,https://n.news.naver.com/mnews/article/001/0013382272?sid=103,"Thu, 18 Aug 2022 10:00:00 +0900"
25,"'이상한 변호사 우영우' 국민아빠 전배수 ""너무 행복했다. 뜨거운 사랑 감사""...",사진=ENA채널 &apos;이상한 변호사 <b>우영우</b>&apos; ENA채널 &apos;이상한 변호사 <b>우영우</b>&apos;가 최종회 방송을 앞두고 있는 가운데 국민아빠로 활약한 배우 전배수가 종영 소감을 전했다. 전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지... ,http://www.newsinside.kr/news/articleView.html?idxno=1140529,http://www.newsinside.kr/news/articleView.html?idxno=1140529,"Thu, 18 Aug 2022 10:00:00 +0900"
26,"‘우영우父’ 전태수 “좋은 작품, 너무 행복했다” (종영소감)","ENA채널 ‘이상한 변호사 <b>우영우</b>’(연출 유인식, 극본 문지원, 제작 에이스토리•KT스튜디오지니•낭만크루)... ‘이상한 변호사 <b>우영우</b>’는 오늘 밤 9시 최종회를 앞두고 있다. 한편 전배수는 ‘이상한 변호사 <b>우영우</b>’... ",https://sports.donga.com/article/all/20220818/115009237/1,https://n.news.naver.com/mnews/article/382/0000998715?sid=106,"Thu, 18 Aug 2022 09:59:00 +0900"
27,"‘우영우’·‘당소말’·‘아다마스’, 수목드라마 일제히 주춤","수목드라마로 방영 중인 ENA ‘이상한 변호사 <b>우영우</b>’와 KBS2 ‘당신이 소원을 말하면’, tvN ‘아다마스’... 종영을 한 회 앞둔 ENA ‘이상한 변호사 <b>우영우</b>’ 15회는 전국 유료가구 기준 13.8%를 기록했다. 14회(14.6... ",http://www.kukinews.com/newsView/kuk202208180035,http://www.kukinews.com/newsView/kuk202208180035,"Thu, 18 Aug 2022 09:58:00 +0900"
28,'고작' 고양이 구하려다 죽었다? 그 개탄이 놓치고 있는 것,최근 인기 있는 드라마 &lt;이상한 변호사 <b>우영우</b>&gt;에는 자폐인 동생과 함께 살던 의사 형의 죽음에 대한... 생명의 가치를 따지는 사회에서 <b>우영우</b>는 장애를 지니고 살아가는 사람들의 생명의 무게에 대해서 생각한다. 물론... ,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002857593&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://n.news.naver.com/mnews/article/047/0002363295?sid=102,"Thu, 18 Aug 2022 09:57:00 +0900"
29,"'우영우' 아빠 전배수 ""우광호 잘가…행복했다""","ENA채널 ‘이상한 변호사 <b>우영우</b>’(연출 유인식, 극본 문지원)가 최종회 방송을 앞두고 있는 가운데... 뿐만 아니라, 영우와의 티키타카로 재미까지 더하며 ‘이상한 변호사 <b>우영우</b>’에서 없어서는 안될 존재감을 보여줬다.... ",http://enews.imbc.com/News/RetrieveNewsInfo/357167,https://n.news.naver.com/mnews/article/408/0000164466?sid=106,"Thu, 18 Aug 2022 09:56:00 +0900"
30,'우영우' 15회까지 달린 시청자들 당황스럽게 만든 어제자 최수연 '고백' 장면...,= &apos;이상한 변호사 <b>우영우</b>&apos; 최수연이 권민우에게 좋아한다고 고백하는 장면이 많은 시청자들을 당황스럽게 만들었다.17일 방송된 ENA &apos;이상한 변호사 <b>우영우</b>&apos;에서는 장승준(최대훈 분)과의 마찰로 팀에서 쫓겨난 <b>우영우</b>... ,https://www.insight.co.kr/news/408387,https://www.insight.co.kr/news/408387,"Thu, 18 Aug 2022 09:56:00 +0900"
31,"'이상한 변호사 우영우' 박은빈 이부동생, 천재 해커였다 '만남 예고'[TV핫샷...","&apos;이상한 변호사 <b>우영우</b>&apos; 박은빈 을 위한 하윤경, 주종혁의 의리와 용기가 빛났다. 17일 방송된 ENA채널 &apos;이상한 변호사 <b>우영우</b>&apos; 15회에서 한바다는 해킹을 막지 못해 고객들의 개인정보를 유출한 온라인 쇼핑몰 라온을... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=543455,https://n.news.naver.com/mnews/article/477/0000376841?sid=106,"Thu, 18 Aug 2022 09:56:00 +0900"
32,"'이상한 변호사 우영우' 강기영, 엉뚱+섹시 마성의 매력 화보 공개","최근 ENA 드라마 &lt;이상한 변호사 <b>우영우</b>&gt;의 정명석 변호사 캐릭터로 큰 사랑을 받고 있는 그는 &quot;들뜨지... 자신도 누군가에게 좋은 영향을 끼치는 사람이 되고 싶어졌다며, &lt;이상한 변호사 <b>우영우</b>&gt;라는 작품이 배우... ",http://www.stardailynews.co.kr/news/articleView.html?idxno=328329,http://www.stardailynews.co.kr/news/articleView.html?idxno=328329,"Thu, 18 Aug 2022 09:56:00 +0900"
33,종영 D-DAY '우영우' 시청률 소폭 하락…'유종의 미' 거둘까,종영을 1회 앞둔 &apos;이상한 변호사 <b>우영우</b>&apos;가 유종의 미를 거둘 수 있을지 주목된다. 지난 17일 방송된 ENA 수목드라마 &apos;이상한 변호사 <b>우영우</b>&apos; 15회에서 한바다는 해킹을 막지 못해 고객들의 개인정보를 유출한 온라인 쇼핑몰... ,https://www.nocutnews.co.kr/news/5803573,https://n.news.naver.com/mnews/article/079/0003675870?sid=106,"Thu, 18 Aug 2022 09:55:00 +0900"
